app_num,app_date,coapp_f_name,coapp_l_name,a_email,a_email,a_f_name,a_l_name,a_street_addr,a_city,a_state,a_postal_code,a_phone,is_approved,is_rejected
152,2019-03-20,,,mbolognia@finjob.com,mbolognia@finjob.com,Mitsue,Bolognia,9389 18-street,Detroit,MI,47637,779534703,0,1
153,2019-03-20,Rebecka,Meteer,amiceli@blackzim.com,amiceli@blackzim.com,An,Miceli,6950 8-street,Durham,WI,63410,212506214,0,1
154,2019-03-20,Graciela,Baltimore,acoyier@hottechi.com,acoyier@hottechi.com,Annmarie,Coyier,1379 17-street,Mesa,VA,98743,3406432705,0,1
156,2019-03-21,,,jbuvens@plusstrip.com,jbuvens@plusstrip.com,Janine,Buvens,9670 11-street,Bakersfield,FL,13724,1175638045,0,1
159,2019-03-25,Felicidad,Hoffis,chirpara@rantouch.com,chirpara@rantouch.com,Clorinda,Hirpara,4420 18-street,Milwaukee,NM,96662,5905299590,0,1
166,2019-03-28,Caitlin,Theodorov,lnunlee@ron-tech.com,lnunlee@ron-tech.com,Lai,Nunlee,2983 6-street,Riverside,TX,70214,8322208696,0,1
175,2019-04-01,Helga,Gwalthney,aacey@dontechi.com,aacey@dontechi.com,Alishia,Acey,1877 19-street,Lexington-Fayette,PA,25328,4315446950,0,1
178,2019-04-03,Ligia,Baltimore,ndenooyer@statholdings.com,ndenooyer@statholdings.com,Nan,Denooyer,4482 20-street,Austin,TX,83645,1330987794,0,1
190,2019-04-10,Fletcher,Eroman,lstockham@j-texon.com,lstockham@j-texon.com,Laurel,Stockham,1636 3-street,Chesapeake,AZ,1939,8834494208,0,1
200,2019-04-16,Cecily,Andreason,jlueckenbach@plussunin.com,jlueckenbach@plussunin.com,Jani,Lueckenbach,8220 17-street,Fort Wayne,FL,16818,835309870,0,1
204,2019-04-18,Paris,Wolfgramm,ndenooyer@statholdings.com,ndenooyer@statholdings.com,Nan,Denooyer,4482 20-street,Austin,TX,83645,1330987794,0,1
207,2019-04-19,Elvera,Hirpara,kpatak@groovestreet.com,kpatak@groovestreet.com,Karl,Patak,5111 8-street,Atlanta,CO,12554,3566256867,0,1
214,2019-04-24,Mitsue,Kolmetz,cpugh@domzoom.com,cpugh@domzoom.com,Carmela,Pugh,647 9-street,Oklahoma City,KY,85065,1757054248,0,1
215,2019-04-24,Staci,Hengel,ckippley@plussunin.com,ckippley@plussunin.com,Carmela,Kippley,5750 9-street,Columbus,OH,44347,2784922561,0,1
236,2019-05-07,Detra,Rim,xdubaldi@iselectrics.com,xdubaldi@iselectrics.com,Xuan,Dubaldi,1372 11-street,Baltimore,OK,6641,7455760970,0,1
237,2019-05-07,Antione,Tomblin,rvanheusen@statholdings.com,rvanheusen@statholdings.com,Roosevelt,Vanheusen,1269 13-street,Phoenix,AZ,1497,9827706913,0,1
239,2019-05-08,Ceola,Lace,bflosi@ganjaflex.com,bflosi@ganjaflex.com,Beatriz,Flosi,9772 11-street,Jersey City,CA,6026,8155072383,0,1
245,2019-05-10,Sabra,Dilliard,cmorasca@ganjaflex.com,cmorasca@ganjaflex.com,Chantell,Morasca,669 18-street,Norfolk,NC,66567,4564896082,0,1
246,2019-05-10,Lizbeth,Cronauer,ltheodorov@opentech.com,ltheodorov@opentech.com,Louvenia,Theodorov,6164 5-street,Irving,AZ,65641,7817467627,0,1
252,2019-05-16,Heike,Asar,brestrepo@xx-holding.com,brestrepo@xx-holding.com,Belen,Restrepo,3761 7-street,Jersey City,CA,71855,6101805651,0,1
253,2019-05-16,Bette,Diestel,lsteffensmeier@gogozoom.com,lsteffensmeier@gogozoom.com,Lashon,Steffensmeier,824 2-street,San Francisco,CA,37737,1228445496,0,1
258,2019-05-20,Marjory,Burnard,esaylors@y-corporation.com,esaylors@y-corporation.com,Evangelina,Saylors,714 1-street,Sacramento,CA,17261,167588959,0,1
261,2019-05-21,Reena,Lukasik,traymo@scotfind.com,traymo@scotfind.com,Thaddeus,Raymo,7830 12-street,Nashville-Davidson,MD,19348,1332668310,0,1
265,2019-05-23,Jerry,Nestle,woles@codehow.com,woles@codehow.com,Wilda,Oles,7083 18-street,Milwaukee,NM,12696,7969401687,0,1
279,2019-05-31,,,lsteffensmeier@gogozoom.com,lsteffensmeier@gogozoom.com,Lashon,Steffensmeier,824 2-street,San Francisco,CA,37737,1228445496,0,1
281,2019-05-31,,,ghalter@konmatfix.com,ghalter@konmatfix.com,Goldie,Halter,538 12-street,Chesapeake,AZ,85885,3935547137,0,1
286,2019-06-04,Cecily,Newville,jkarpel@mathtouch.com,jkarpel@mathtouch.com,Justine,Karpel,5493 1-street,Fresno,CA,59927,1064056528,0,1
289,2019-06-06,Derick,Lace,lharabedian@plussunin.com,lharabedian@plussunin.com,Lashaunda,Harabedian,2367 6-street,Charlotte,NC,90090,3736831230,0,1
298,2019-06-11,Alline,Andreason,cmorasca@ganjaflex.com,cmorasca@ganjaflex.com,Chantell,Morasca,669 18-street,Norfolk,NC,66567,4564896082,0,1
316,2019-06-21,Haydee,Vonasek,wstockham@zotware.com,wstockham@zotware.com,Willodean,Stockham,6570 17-street,Winston-Salem,AZ,9280,7413091810,0,1
318,2019-06-21,Mattie,Lawler,tkines@sumace.com,tkines@sumace.com,Timothy,Kines,3481 14-street,Denver,CO,90861,1717769169,0,1
320,2019-06-24,Erinn,Stenseth,lharabedian@plussunin.com,lharabedian@plussunin.com,Lashaunda,Harabedian,2367 6-street,Charlotte,NC,90090,3736831230,0,1
324,2019-06-26,Hillary,Stuer,rauber@dambase.com,rauber@dambase.com,Raymon,Auber,1900 9-street,Los Angeles,CA,8130,4604406661,0,1
330,2019-06-28,Youlanda,Lother,wstockham@zotware.com,wstockham@zotware.com,Willodean,Stockham,6570 17-street,Winston-Salem,AZ,9280,7413091810,0,1
337,2019-07-03,Marguerita,Scriven,eadkin@stanredtax.com,eadkin@stanredtax.com,Elly,Adkin,346 21-street,Portland,NV,75532,7579751550,0,1
338,2019-07-03,Natalie,Farrar,tkines@sumace.com,tkines@sumace.com,Timothy,Kines,3481 14-street,Denver,CO,90861,1717769169,0,1
339,2019-07-04,Gail,Auffrey,etromblay@toughzap.com,etromblay@toughzap.com,Elouise,Tromblay,4110 6-street,Santa Ana,MO,73576,947509402,0,1
340,2019-07-04,,,nhiatt@plexzap.com,nhiatt@plexzap.com,Nicolette,Hiatt,6230 12-street,Kansas City,AZ,69748,413614987,0,1
346,2019-07-08,,,jlueckenbach@plussunin.com,jlueckenbach@plussunin.com,Jani,Lueckenbach,8220 17-street,Fort Wayne,FL,16818,835309870,0,1
347,2019-07-09,Alesia,Comnick,liturbide@dontechi.com,liturbide@dontechi.com,Leatha,Iturbide,7080 10-street,Irvine,NC,28123,1251152268,0,1
348,2019-07-09,,,jrestrepo@konmatfix.com,jrestrepo@konmatfix.com,Jettie,Restrepo,8358 20-street,Baton Rouge,TX,98180,2580479634,0,1
353,2019-07-11,Leatha,Iturbide,lbayless@sumace.com,lbayless@sumace.com,Lorrine,Bayless,4015 17-street,Austin,TX,23088,3882307371,0,1
357,2019-07-12,Deandrea,Bartolet,dkines@betatech.com,dkines@betatech.com,Dorthy,Kines,9057 19-street,Sacramento,CA,75064,9497063223,0,1
364,2019-07-17,Jerry,Malet,estenseth@cancity.com,estenseth@cancity.com,Erinn,Stenseth,6364 14-street,Lubbock,CA,12415,5878076341,0,1
366,2019-07-18,Devora,Moyd,kweglarz@streethex.com,kweglarz@streethex.com,Kayleigh,Weglarz,9715 16-street,Kansas City,AZ,98923,776708535,0,1
367,2019-07-18,Malcolm,Gleich,aspickerman@green-plus.com,aspickerman@green-plus.com,Albina,Spickerman,9182 8-street,Anchorage,CA,88656,4965767143,0,1
369,2019-07-19,Jolene,Shire,esaylors@y-corporation.com,esaylors@y-corporation.com,Evangelina,Saylors,714 1-street,Sacramento,CA,17261,167588959,0,1
373,2019-07-23,Nicolette,Haufler,kpatak@groovestreet.com,kpatak@groovestreet.com,Karl,Patak,5111 8-street,Atlanta,CO,12554,3566256867,0,1
374,2019-07-24,Mariann,Waymire,mreitler@fasehatice.com,mreitler@fasehatice.com,Mariann,Reitler,2800 20-street,Philadelphia,PA,70825,8934510509,0,1
387,2019-08-01,Dalene,Isenhower,rtegarden@donquadtech.com,rtegarden@donquadtech.com,Rolande,Tegarden,4370 19-street,New York,NY,78429,6938497826,0,1
413,2019-08-16,Theodora,Haroldson,trulapaugh@yearin.com,trulapaugh@yearin.com,Timothy,Rulapaugh,6512 1-street,Minneapolis,OK,50531,8427777663,0,1
414,2019-08-19,Evangelina,Treston,whamilton@opentech.com,whamilton@opentech.com,Willow,Hamilton,2265 5-street,Fremont,ID,83391,3870058455,0,1
418,2019-08-21,Myra,Shealy,snicka@year-job.com,snicka@year-job.com,Shonda,Nicka,8687 19-street,Louisville/Jefferson County,OR,24281,2134076388,0,1
420,2019-08-22,Teddy,Grenet,smeteer@dalttechnology.com,smeteer@dalttechnology.com,Serina,Meteer,1473 12-street,Richmond,CA,19203,9502296621,0,1
425,2019-08-26,,,kpatak@groovestreet.com,kpatak@groovestreet.com,Karl,Patak,5111 8-street,Atlanta,CO,12554,3566256867,0,1
429,2019-08-28,,,brhym@dambase.com,brhym@dambase.com,Buddy,Rhym,6822 11-street,Colorado Springs,NE,48984,1763305209,0,1
431,2019-08-29,Joseph,Samu,cpugh@domzoom.com,cpugh@domzoom.com,Carmela,Pugh,647 9-street,Oklahoma City,KY,85065,1757054248,0,1
437,2019-09-03,Kanisha,Mugnolo,ckannady@dambase.com,ckannady@dambase.com,Catalina,Kannady,9999 7-street,Sacramento,CA,90468,1945134801,0,1
439,2019-09-04,Raul,Berray,cscipione@kan-code.com,cscipione@kan-code.com,Cecily,Scipione,4492 21-street,Albuquerque,AZ,84625,6166913095,0,1
444,2019-09-06,Tamar,Nicolozakes,cscipione@kan-code.com,cscipione@kan-code.com,Cecily,Scipione,4492 21-street,Albuquerque,AZ,84625,6166913095,0,1
447,2019-09-09,Annabelle,Klimek,vkeener@kan-code.com,vkeener@kan-code.com,Virgina,Keener,6442 21-street,St. Petersburg,AZ,76382,4207746671,0,1
450,2019-09-10,Jamal,Latzke,jacey@inity.com,jacey@inity.com,Johnetta,Acey,9551 14-street,Wichita,TX,17071,4534969813,0,1
454,2019-09-13,Margart,Maynerich,ckippley@plussunin.com,ckippley@plussunin.com,Carmela,Kippley,5750 9-street,Columbus,OH,44347,2784922561,0,1
460,2019-09-17,Rebecka,Hagele,dscipione@dambase.com,dscipione@dambase.com,Denise,Scipione,299 8-street,North Las Vegas,CA,74474,4302798321,0,1
474,2019-09-24,,,lwalthall@betasoloin.com,lwalthall@betasoloin.com,Laurel,Walthall,3863 8-street,Charlotte,NC,18095,5336512883,0,1
483,2019-10-01,Lonny,Haroldson,troyster@kan-code.com,troyster@kan-code.com,Ty,Royster,6993 11-street,Jersey City,CA,67631,7809866690,0,1
488,2019-10-03,Bernardine,Brucato,cpaulas@opentech.com,cpaulas@opentech.com,Carlee,Paulas,6751 6-street,St. Louis,CA,40354,7399274620,0,1
491,2019-10-07,Helga,Mirafuentes,kcraghead@sumace.com,kcraghead@sumace.com,Kayleigh,Craghead,5350 6-street,Denver,CO,22151,2945618913,0,1
494,2019-10-09,Carey,Harabedian,lmunns@toughzap.com,lmunns@toughzap.com,Lettie,Munns,3948 1-street,Oakland,MN,80297,642648839,0,1
497,2019-10-10,Marjory,Slusarski,ehirpara@sunnamplex.com,ehirpara@sunnamplex.com,Elvera,Hirpara,3366 1-street,Baton Rouge,TX,73854,1876924079,0,1
501,2019-10-14,,,mbolognia@finjob.com,mbolognia@finjob.com,Mitsue,Bolognia,9389 18-street,Detroit,MI,47637,779534703,0,1
508,2019-10-17,Fabiola,Bubash,vlouissant@sunnamplex.com,vlouissant@sunnamplex.com,Viva,Louissant,9677 17-street,Laredo,VA,17201,6787813627,0,1
511,2019-10-18,Abel,Amyot,afigeroa@labdrill.com,afigeroa@labdrill.com,Alpha,Figeroa,812 21-street,Garland,FL,55207,6572550852,0,1
515,2019-10-22,Stephane,Kalafatis,cperruzza@doncon.com,cperruzza@doncon.com,Colette,Perruzza,757 18-street,Denver,CO,56082,1854047826,0,1
516,2019-10-22,Beatriz,Semidey,oflosi@betatech.com,oflosi@betatech.com,Olive,Flosi,3466 14-street,Indianapolis,IN,47706,2495654893,0,1
541,2019-11-06,Marvel,Skulski,mhoopengardner@xx-holding.com,mhoopengardner@xx-holding.com,Minna,Hoopengardner,8533 19-street,San Diego,CA,20674,1148144860,0,1
551,2019-11-12,Tegan,Springe,snicka@year-job.com,snicka@year-job.com,Shonda,Nicka,8687 19-street,Louisville/Jefferson County,OR,24281,2134076388,0,1
553,2019-11-13,Ernie,Bowley,chirpara@rantouch.com,chirpara@rantouch.com,Clorinda,Hirpara,4420 18-street,Milwaukee,NM,96662,5905299590,0,1
560,2019-11-19,Daniel,Seewald,mstem@betasoloin.com,mstem@betasoloin.com,Margart,Stem,9062 18-street,Hialeah,NV,76455,3730603927,0,1
561,2019-11-19,Viola,Halter,ebowley@ganjaflex.com,ebowley@ganjaflex.com,Ernie,Bowley,3121 12-street,Plano,NV,3558,9407037638,0,1
565,2019-11-21,Solange,Limmel,xdubaldi@iselectrics.com,xdubaldi@iselectrics.com,Xuan,Dubaldi,1372 11-street,Baltimore,OK,6641,7455760970,0,1
567,2019-11-22,Barrett,Worlds,rbourbon@lexiqvolax.com,rbourbon@lexiqvolax.com,Roosevelt,Bourbon,4241 4-street,San Francisco,CA,16949,2726060664,0,1
571,2019-11-26,,,aacey@dontechi.com,aacey@dontechi.com,Alishia,Acey,1877 19-street,Lexington-Fayette,PA,25328,4315446950,0,1
576,2019-11-29,Novella,Plumer,dturinetti@doncon.com,dturinetti@doncon.com,Dorthy,Turinetti,1196 17-street,Houston,TX,55569,1178998719,0,1
579,2019-12-02,Lenna,Threets,lflister@hottechi.com,lflister@hottechi.com,Lonny,Flister,7359 18-street,Winston-Salem,AZ,75981,5160672671,0,1
600,2019-12-12,Lonny,Stimmel,woles@codehow.com,woles@codehow.com,Wilda,Oles,7083 18-street,Milwaukee,NM,12696,7969401687,0,1
601,2019-12-12,Corinne,Onofrio,elary@lexiqvolax.com,elary@lexiqvolax.com,Erick,Lary,6988 17-street,Buffalo,NJ,51772,1316212290,0,1
609,2019-12-17,,,msetter@fasehatice.com,msetter@fasehatice.com,Merissa,Setter,4798 5-street,Atlanta,CO,27044,8221492776,0,1
616,2019-12-23,Stephaine,Corrington,agillaspie@golddex.com,agillaspie@golddex.com,Alline,Gillaspie,2773 19-street,Portland,NV,97544,1116695849,0,1
623,2019-12-27,,,ladkin@domzoom.com,ladkin@domzoom.com,Leonida,Adkin,3273 13-street,Dallas,TX,20939,7423018249,0,1
634,2020-01-02,Mitsue,Bolognia,jmirafuentes@rangreen.com,jmirafuentes@rangreen.com,Jolanda,Mirafuentes,5701 5-street,Orlando,FL,1741,7619983851,0,1
639,2020-01-07,Hubert,Bitsuie,loldroyd@hottechi.com,loldroyd@hottechi.com,Lucy,Oldroyd,9392 18-street,Nashville-Davidson,MD,34894,8274477101,0,1
655,2020-01-16,Virgie,Maisto,cpagliuca@betasoloin.com,cpagliuca@betasoloin.com,Catarina,Pagliuca,2537 18-street,Chesapeake,AZ,39058,4285698314,0,1
656,2020-01-16,,,agillaspie@golddex.com,agillaspie@golddex.com,Alline,Gillaspie,2773 19-street,Portland,NV,97544,1116695849,0,1
658,2020-01-17,Felix,Konopacki,etromblay@toughzap.com,etromblay@toughzap.com,Elouise,Tromblay,4110 6-street,Santa Ana,MO,73576,947509402,0,1
689,2020-02-06,Kallie,Strassner,lsteffensmeier@gogozoom.com,lsteffensmeier@gogozoom.com,Lashon,Steffensmeier,824 2-street,San Francisco,CA,37737,1228445496,0,1
715,2020-02-21,Hillary,Menter,lbayless@sumace.com,lbayless@sumace.com,Lorrine,Bayless,4015 17-street,Austin,TX,23088,3882307371,0,1
717,2020-02-21,,,ckippley@plussunin.com,ckippley@plussunin.com,Carmela,Kippley,5750 9-street,Columbus,OH,44347,2784922561,0,1
731,2020-03-03,France,Martabano,lkarpel@nam-zim.com,lkarpel@nam-zim.com,Lorrine,Karpel,3646 19-street,Miami,CA,45960,3417123913,0,1
737,2020-03-05,Alecia,Schirpke,creitler@silis.com,creitler@silis.com,Casie,Reitler,9364 2-street,Santa Ana,MO,58819,9724575734,0,1
751,2020-03-13,Joseph,Borgman,lmunns@toughzap.com,lmunns@toughzap.com,Lettie,Munns,3948 1-street,Oakland,MN,80297,642648839,0,1
752,2020-03-16,Estrella,Abdallah,troyster@kan-code.com,troyster@kan-code.com,Ty,Royster,6993 11-street,Jersey City,CA,67631,7809866690,0,1
759,2020-03-19,Karl,Patak,cyori@donware.com,cyori@donware.com,Claribel,Yori,598 9-street,Louisville/Jefferson County,OR,17309,1919774747,0,1
769,2020-03-25,Carmela,Kippley,egrenet@y-corporation.com,egrenet@y-corporation.com,Ernie,Grenet,5073 14-street,Virginia Beach,GA,49648,1697611014,0,1
781,2020-04-01,Fernanda,Vonasek,rvanheusen@statholdings.com,rvanheusen@statholdings.com,Roosevelt,Vanheusen,1269 13-street,Phoenix,AZ,1497,9827706913,0,1
790,2020-04-06,,,lstockham@j-texon.com,lstockham@j-texon.com,Laurel,Stockham,1636 3-street,Chesapeake,AZ,1939,8834494208,0,1
805,2020-04-15,Celeste,Greenbush,lflister@hottechi.com,lflister@hottechi.com,Lonny,Flister,7359 18-street,Winston-Salem,AZ,75981,5160672671,0,1
836,2020-05-01,,,rgarufi@bioplex.com,rgarufi@bioplex.com,Regenia,Garufi,8020 6-street,Kansas City,AZ,14901,2817952195,0,1
852,2020-05-08,Amie,Juvera,etromblay@toughzap.com,etromblay@toughzap.com,Elouise,Tromblay,4110 6-street,Santa Ana,MO,73576,947509402,0,1
864,2020-05-15,Jennie,Nachor,oflosi@betatech.com,oflosi@betatech.com,Olive,Flosi,3466 14-street,Indianapolis,IN,47706,2495654893,0,1
892,2020-06-03,Junita,Farrow,bflosi@ganjaflex.com,bflosi@ganjaflex.com,Beatriz,Flosi,9772 11-street,Jersey City,CA,6026,8155072383,0,1
