dog_id,dog_name,sex,alt_status,animal_control,surrender_date,surrender_reason,description,age_months,microchip,email,DOB,app_num,a_email,dog_id,app_num,,app_num,a_email
23,Abby,female,TRUE,TRUE,2/21/2019,I had no idea that animals were this much work., This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh,266,NULL,dmontezuma@green-plus.com,12/21/1996,29,snicka@year-job.com,24,85,,23,ggalam@ron-tech.com
24,Lacey,unknown,TRUE,FALSE,2/25/2019,The animal has a behavior that I don't want to try to work with and correct., is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o,69,1324307979,cvonasek@toughzap.com,5/25/2013,85,mreiber@scottech.com,25,101,,24,dkines@betatech.com
25,Willow,female,TRUE,FALSE,2/26/2019,I don't want to be responsible for the animal anymore.," This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o",256,NULL,cjurney@groovestreet.com,10/26/1997,101,brhym@dambase.com,26,41,,25,kcraghead@sumace.com
26,Honey,female,TRUE,FALSE,3/4/2019,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore., Our girl may look like a plain little black dog but she is anything but ordinary!  Th,124,NULL,cvonasek@toughzap.com,11/4/2008,41,kharnos@conecom.com,27,49,,26,dgellinger@dambase.com
27,Marley,female,TRUE,FALSE,3/13/2019,Landlord won't let me keep the animal., is a super sweet boxer/dane mix!  He came from a rural animal contro,249,NULL,dmontezuma@green-plus.com,6/13/1998,49,estenseth@cancity.com,28,61,,27,hmenter@doncon.com
28,Phoebe,unknown,TRUE,TRUE,3/14/2019,the pet sheds too much,was adopted from us when he was 2 months old.  He was just returned because they do,168,447698661,mo@burdell.com,3/14/2005,61,jblackwood@dambase.com,29,50,,28,bmastella@kan-code.com
29,Hazel,female,TRUE,FALSE,3/18/2019,The dog barks too much or the cat meows too much.,This gorgeous girl hails from Puerto Rico. She is a 3-year-old P,264,9544917421,dmontezuma@green-plus.com,3/18/1997,50,esaylors@y-corporation.com,30,7,,29,snicka@year-job.com
30,Emma,female,TRUE,FALSE,3/20/2019,don't know how to handle the animal's medical needs,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,89,NULL,mdeleo@funholding.com,10/20/2011,7,lhamilton@labdrill.com,31,242,,30,cpugh@domzoom.com
31,Duke,male,TRUE,FALSE,3/27/2019,haven't thought about any other options, is such a doll! She was recently rescued from euthanasia in a Texas shelt,119,NULL,tmarrier@hottechi.com,4/27/2009,242,ldevreese@sonron.com,32,34,,31,cscipione@kan-code.com
32,Minnie,female,TRUE,FALSE,3/28/2019,The animal turned 10 and you surrender the animal when it reaches that age.,  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ,46,4142103190,dmontezuma@green-plus.com,5/28/2015,34,cpaulas@opentech.com,33,111,,32,jspickerman@y-corporation.com
33,Cooper,male,TRUE,FALSE,3/29/2019,upset that the dog bit somebody," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",64,NULL,srodefer@ontomedia.com,11/29/2013,111,ggalam@ron-tech.com,34,140,,33,cpagliuca@betasoloin.com
34,Luna,female,TRUE,TRUE,4/1/2019,I need to surrender my dog because I just had my carpets cleaned.,  enjoys car rides and loves playing alon,30,8686396700,gmatuszak@green-plus.com,10/1/2016,140,agillaspie@golddex.com,35,71,,34,cpaulas@opentech.com
35,Sydney,female,TRUE,FALSE,4/2/2019,The animal attacks me and my family.,Meet a handsome black Lab mix who's almost 5 years old,4,NULL,barias@xx-holding.com,12/2/2018,71,lschoeneck@streethex.com,36,113,,35,troyster@kan-code.com
36,Ruby,female,TRUE,FALSE,4/3/2019,My child went to jail and I don't want their animal.,is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do,93,624367218,vmenter@silis.com,7/3/2011,113,troyster@kan-code.com,37,141,,36,ahoogland@doncon.com
37,Jake,male,TRUE,FALSE,4/4/2019,My dogs pees on my baby.,"  If you're looking for a sporty new best friend to hang out with, this is your guy",206,6850378225,smaclead@openlane.com,2/4/2002,141,dgellinger@dambase.com,38,32,,37,mhollack@scottech.com
38,Bandit,male,TRUE,FALSE,4/5/2019,didn't know the cat would sleep all day," When their dad passed away in a tragic accident, he and his ""sister""  ",12,4018693437,mmallett@konex.com,4/5/2018,32,jspickerman@y-corporation.com,39,110,,38,ebowley@ganjaflex.com
39,Jackson,male,TRUE,FALSE,4/11/2019,The dog barks too much or the cat meows too much.,"  came to rescue in a starved state. Despite this, she has so much love to give. She g",86,NULL,barias@xx-holding.com,2/11/2012,110,adenooyer@kinnamplus.com,40,1,,39,eperigo@plussunin.com
40,Bentley,male,TRUE,FALSE,4/15/2019,I have decided that my family is allergic to the animal.,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",10,NULL,nbatman@ron-tech.com,6/15/2018,1,hcallaro@cancity.com,41,124,,40,estenseth@cancity.com
41,Champ,male,TRUE,FALSE,4/15/2019,I need to surrender my dog because it chewed my sprinkler heads.," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",29,1237604775,jsweely@fasehatice.com,11/15/2016,124,awildfong@conecom.com,42,158,,41,kharnos@conecom.com
42,Gigi,female,TRUE,FALSE,4/16/2019,upset that the dog chewed on something or had an accident, This adorable boy is Tango Barnwell.  He wou,230,NULL,mo@burdell.com,2/16/2000,158,lmonarrez@goodsilron.com,43,228,,42,cpugh@domzoom.com
43,Charlie,female,TRUE,FALSE,4/17/2019,I don't want the dog to scratch my new floors., is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen,34,NULL,smaclead@openlane.com,6/17/2016,228,lkippley@golddex.com,44,173,,43,msarao@newex.com
44,Chester,male,TRUE,FALSE,4/18/2019,My doctor told me that the cat will suck the life out of my newborn baby.,is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard,55,NULL,rdiestel@goodsilron.com,9/18/2014,173,hgwalthney@funholding.com,45,183,,44,afigeroa@labdrill.com
45,Lucky,female,TRUE,FALSE,4/19/2019,I don't want to be responsible for the animal anymore., This gorgeous boy is a Saint Bernard mix. He is,54,7168262500,cvonasek@toughzap.com,10/19/2014,183,esaylors@y-corporation.com,46,31,,45,hcallaro@cancity.com
46,Riley,female,TRUE,TRUE,4/24/2019,moving and don't want to take the dog along,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",44,NULL,dmontezuma@green-plus.com,8/24/2015,31,cscipione@kan-code.com,47,90,,46,jblackwood@dambase.com
47,Oliver,male,TRUE,FALSE,5/1/2019,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.", This gorgeous boy is a Saint Bernard mix. He is,194,9131352554,mmallett@konex.com,3/1/2003,90,acoyier@hottechi.com,48,100,,47,ajuvera@groovestreet.com
48,Madison,female,TRUE,FALSE,5/1/2019,I don't want the dog to scratch my new floors.,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",53,601033509,nbatman@ron-tech.com,12/1/2014,100,lbayless@sumace.com,49,143,,48,ebowley@ganjaflex.com
49,Marley,female,TRUE,FALSE,5/8/2019,"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!""","  along with his littermates and mom, was rescued from euthanasia a",76,2202768589,mmallett@konex.com,1/8/2013,143,kweglarz@streethex.com,50,33,,49,estenseth@cancity.com
50,Annie,female,TRUE,FALSE,5/10/2019,The animal doesn't match my new furniture., was homeless and roaming the streets which eventually led to his being picked-up,122,NULL,sahle@treequote.com,3/10/2009,33,cpagliuca@betasoloin.com,51,219,,50,esaylors@y-corporation.com
51,Midnight,unknown,TRUE,FALSE,5/10/2019,"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!""",  is so smart and curious too.  She's becoming a TV binge watching c,264,NULL,cjurney@groovestreet.com,5/10/1997,219,kharnos@conecom.com,52,197,,51,kweglarz@streethex.com
52,Louie,male,TRUE,FALSE,5/14/2019,"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!""", he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,183,NULL,barias@xx-holding.com,2/14/2004,197,kweglarz@streethex.com,53,44,,52,hseewald@j-texon.com
53,Cleo,female,TRUE,TRUE,5/15/2019,I need to surrender my dog because it chewed my sprinkler heads.," is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day",40,5395133308,asmith@zotware.com,1/15/2016,44,afigeroa@labdrill.com,54,177,,53,lpadilla@conecom.com
54,Piper,unknown,TRUE,FALSE,5/16/2019,I didn't know I adopted a boy/girl animal.,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",12,3406020447,cjurney@groovestreet.com,5/16/2018,177,mhollack@scottech.com,55,54,,54,ccoody@sonron.com
55,Brady,unknown,TRUE,FALSE,5/16/2019,I don't have time for the animal., came to us with an injury to her skin on her back. She looks like someone burned her. She ,51,NULL,kmunns@yearin.com,2/16/2015,54,ccoody@sonron.com,56,11,,55,lwalthall@betasoloin.com
56,Moose,male,TRUE,FALSE,5/21/2019,The animal doesn't match my new furniture., was a stray who found his way to Rescue.  He is a senior guy but acts an,28,NULL,sahle@treequote.com,1/21/2017,11,rgarufi@bioplex.com,57,98,,56,elary@lexiqvolax.com
57,Roxie,female,TRUE,FALSE,5/22/2019,I have decided that my family is allergic to the animal., is a sweet girl who was separated from her litter after having to have a lifesaving blood tr,8,3822482038,fcrupi@rangreen.com,9/22/2018,98,jpoquette@ron-tech.com,58,161,,57,jspickerman@y-corporation.com
58,Oscar,male,TRUE,FALSE,5/27/2019,don't like the way the dog reacted to a child,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",36,2020593158,jgiguere@openlane.com,5/27/2016,161,lstockham@j-texon.com,59,146,,58,etromblay@toughzap.com
59,Penny,female,TRUE,FALSE,5/31/2019,"I ""Found"" the animal.", is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you,2,6282761749,rdiestel@goodsilron.com,3/31/2019,146,lkippley@golddex.com,60,15,,59,eadkin@stanredtax.com
60,Elvis,male,TRUE,TRUE,6/5/2019,I got a new house and don't want it., We don't know what happened to him before he arrived,196,3168256198,lmenter@plexzap.com,2/5/2003,15,gkines@inity.com,61,179,,60,snicka@year-job.com
61,Blue,male,TRUE,FALSE,6/6/2019,The animal turned 10 and you surrender the animal when it reaches that age.," If you're looking for a ""no brainer"", check out this girl. She is a really E",93,NULL,rdiestel@goodsilron.com,9/6/2011,179,lflister@hottechi.com,62,48,,61,jblackwood@dambase.com
62,Bentley,male,TRUE,FALSE,6/6/2019,My doctor told me that the cat will suck the life out of my newborn baby.,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,67,5365023748,ncoyier@funholding.com,11/6/2013,48,ebowley@ganjaflex.com,63,255,,62,ckannady@dambase.com
63,Maggie,female,TRUE,FALSE,6/10/2019,don't know how to handle the animal's medical needs," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",255,4484362295,dkeetch@golddex.com,3/10/1998,255,mhoopengardner@xx-holding.com,64,168,,63,lpadilla@conecom.com
64,Cooper,male,TRUE,FALSE,6/12/2019,The dog barks too much or the cat meows too much.,"    has the floppiest ears and the saddest eyes, but ",169,6210978022,lmenter@plexzap.com,5/12/2005,168,aspickerman@green-plus.com,65,40,,64,brhym@dambase.com
65,Loki,male,TRUE,TRUE,6/14/2019,problems with the cat soiling outside the litter box,  was being given away for free on a neighborhood site in Texas because a child in the home w,250,1761032421,kmunns@yearin.com,8/14/1998,40,estenseth@cancity.com,66,67,,65,bpoullion@opentech.com
66,Champ,unknown,TRUE,TRUE,6/14/2019,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved,240,NULL,jsweely@fasehatice.com,6/14/1999,67,msarao@newex.com,67,209,,66,lsteffensmeier@gogozoom.com
67,Zoey,female,TRUE,FALSE,6/17/2019,The animal attacks me and my family.,We are looking for a home for our dog . He was born in December of 2015,59,9185107913,nbatman@ron-tech.com,7/17/2014,209,kbenimadho@donquadtech.com,68,77,,67,msarao@newex.com
68,Joey,male,TRUE,FALSE,6/18/2019,upset that the dog bit somebody, This beautiful boy  was adopted out as a puppy to a loving couple but recently has c,35,NULL,walbares@conecom.com,7/18/2016,77,jkarpel@mathtouch.com,69,104,,68,ebowley@ganjaflex.com
69,Charlie,female,TRUE,TRUE,6/20/2019,"""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!""",is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the,66,2075926640,sjurney@groovestreet.com,12/20/2013,104,aspickerman@green-plus.com,70,128,,69,ttromblay@dontechi.com
70,Annie,female,TRUE,TRUE,6/25/2019,The animal turned 10 and you surrender the animal when it reaches that age.,is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha,54,NULL,fcrupi@rangreen.com,12/25/2014,128,dscipione@dambase.com,71,121,,70,cpaulas@opentech.com
71,Blue,male,TRUE,FALSE,7/1/2019,I need to surrender my dog because it chewed my sprinkler heads.,  needs a new home ASAP as the landlord says he has to go!! Here is what his mom say,246,4648672566,walbares@conecom.com,1/1/1999,121,szepp@dalttechnology.com,72,241,,71,lschoeneck@streethex.com
72,Beau,male,TRUE,FALSE,7/4/2019,The kitten opened the refrigerator and ruined $200.00 in food.,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,106,4741762601,kmunns@yearin.com,9/4/2010,241,cfelger@stanredtax.com,73,139,,72,bmastella@kan-code.com
73,Holly,female,TRUE,FALSE,7/8/2019,My child went to jail and I don't want their animal., was homeless and roaming the streets which eventually led to his being picked-up,118,NULL,jgiguere@openlane.com,9/8/2009,139,chirpara@rantouch.com,74,167,,73,rvanheusen@statholdings.com
74,Bubba,unknown,TRUE,FALSE,7/9/2019,The dog barks too much or the cat meows too much.,  is a friendly handsome boy that needs his forever home. Please fill out an application a,140,3432397581,jsweely@fasehatice.com,11/9/2007,167,rhollack@plexzap.com,75,36,,74,lbayless@sumace.com
75,Joey,male,TRUE,FALSE,7/11/2019,the pet sheds too much,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",155,346401730,edubaldi@finhigh.com,8/11/2006,36,ahoogland@doncon.com,76,94,,75,vknipp@year-job.com
76,Harley,male,TRUE,FALSE,7/11/2019,"I ""Found"" the animal."," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",37,NULL,walbares@conecom.com,6/11/2016,94,vknipp@year-job.com,77,78,,76,anievas@rangreen.com
77,Harley,unknown,TRUE,FALSE,7/12/2019,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,was adopted from us when he was 2 months old.  He was just returned because they do,43,8262987496,lmenter@plexzap.com,12/12/2015,78,msarao@newex.com,78,247,,77,jkarpel@mathtouch.com
78,Marley,female,TRUE,FALSE,7/15/2019,I am going to have a child and don't want the animal anymore.,   I'm an absolute awesome dog and I love all people. My foster says I have,130,NULL,sjurney@groovestreet.com,9/15/2008,247,msarao@newex.com,79,225,,78,msarao@newex.com
79,Bonnie,female,TRUE,FALSE,7/16/2019,don't have time for the dog anymore,"  along with his littermates and mom, was rescued from euthanasia a",2,231531255,sjurney@groovestreet.com,5/16/2019,225,esaylors@y-corporation.com,80,97,,79,ahoogland@y-corporation.com
80,Sugar,female,TRUE,FALSE,7/17/2019,I didn't know I adopted a boy/girl animal.,is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard,18,607362081,smaclead@openlane.com,1/17/2018,97,jmirafuentes@rangreen.com,81,163,,80,mhollack@scottech.com
81,Bonnie,female,TRUE,TRUE,7/19/2019,haven't thought about any other options,We are looking for a home for our dog . He was born in December of 2015,64,8410783889,jgiguere@openlane.com,3/19/2014,163,mskulski@sumace.com,82,300,,81,wmeteer@domzoom.com
82,Boomer,male,TRUE,FALSE,7/22/2019,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,"  loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha",15,NULL,ncoyier@funholding.com,4/22/2018,300,wstockham@zotware.com,83,248,,82,chirpara@rantouch.com
83,Annie,female,TRUE,FALSE,7/23/2019,I have decided that my family is allergic to the animal.,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,124,2684737194,fcrupi@rangreen.com,3/23/2009,248,smeteer@dalttechnology.com,84,304,,83,clawler@dontechi.com
84,Piper,female,TRUE,FALSE,7/23/2019,My dogs pees on my baby.,"From his owner:  Please help me find a new home for my dog , an 8 year old German Sh",57,NULL,ncoyier@funholding.com,10/23/2014,304,egrenet@y-corporation.com,85,230,,84,hseewald@j-texon.com
85,Sally,female,TRUE,FALSE,7/24/2019,My child went to jail and I don't want their animal.,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",255,47708228,jsweely@fasehatice.com,4/24/1998,230,lkippley@golddex.com,86,148,,85,mreiber@scottech.com
86,Bandit,male,TRUE,FALSE,7/25/2019,can't or don't want to handle the costs of the pet's needs,Meet a handsome black Lab mix who's almost 5 years old,106,NULL,mdeleo@funholding.com,9/25/2010,148,aostolaza@finjob.com,87,134,,86,mbolognia@finjob.com
87,Macy,female,TRUE,FALSE,7/30/2019,the pet sheds too much,Meet a handsome black Lab mix who's almost 5 years old,69,9360975341,gmatuszak@green-plus.com,10/30/2013,134,jmirafuentes@rangreen.com,88,169,,87,amiceli@blackzim.com
88,Cash,male,TRUE,FALSE,7/31/2019,I didn't know that owning an animal was this expensive, would be a wonderful addition to your family as long as she's the only fur,161,NULL,gmatuszak@green-plus.com,3/3/2006,169,bdiestel@condax.com,89,192,,88,kpedrozo@kan-code.com
89,Sheldon,unknown,TRUE,FALSE,8/1/2019,I didn't know that owning an animal was this expensive,  is an adorable boy that is friendly and does very well with other cats. If interested please,268,4270076427,mdeleo@funholding.com,4/1/1997,192,hgwalthney@funholding.com,90,203,,89,eadkin@stanredtax.com
90,Brutus,male,TRUE,FALSE,8/2/2019,I didn't know that owning an animal was this expensive, she was being given away in the back of a gas station in a rural Texas town when one of our,59,NULL,dmontezuma@green-plus.com,9/2/2014,203,agillaspie@golddex.com,91,30,,90,acoyier@hottechi.com
91,Sassy,female,TRUE,FALSE,8/2/2019,I don't want to be responsible for the animal anymore.,is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the,160,NULL,lmenter@plexzap.com,4/2/2006,30,cpugh@domzoom.com,92,273,,91,mreiber@scottech.com
92,Athena,female,TRUE,FALSE,8/7/2019,think the dog is too hyper,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",264,6159881717,sahle@treequote.com,8/7/1997,273,cpugh@domzoom.com,93,267,,92,lpadilla@conecom.com
93,Mac,male,TRUE,FALSE,8/7/2019,having 'personal problems', would be a wonderful addition to your family as long as she's the only fur,61,NULL,nbatman@ron-tech.com,7/7/2014,267,vlouissant@sunnamplex.com,94,131,,93,egoldammer@scottech.com
94,Lexi,female,TRUE,FALSE,8/14/2019,moving and don't want to take the dog along," Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s",115,9310470281,vmenter@silis.com,1/14/2010,131,mbolognia@finjob.com,95,383,,94,vknipp@year-job.com
95,Ella,unknown,TRUE,TRUE,8/15/2019,think the dog is too hyper,"  I'm trying to find a home for a dog,  who I rescued from a trail",42,NULL,srodefer@ontomedia.com,2/15/2016,383,aspickerman@green-plus.com,96,275,,95,kharnos@conecom.com
96,Brady,male,TRUE,FALSE,8/16/2019,decided they have too many animals at home,  enjoys car rides and loves playing alon,266,NULL,sjurney@groovestreet.com,6/16/1997,275,msarao@newex.com,97,201,,96,mbolognia@finjob.com
97,Lucky,female,TRUE,FALSE,8/19/2019,problems with the cat soiling outside the litter box, is an adorable dog with a classic Bulldog face.  He was pulled from a high kill shelter ,45,NULL,dmontezuma@green-plus.com,11/19/2015,201,vkeener@kan-code.com,98,325,,97,jmirafuentes@rangreen.com
98,Mocha,unknown,TRUE,TRUE,8/20/2019,having 'personal problems',"is a senior boy, 11-12 years old, the life he led before being rescued was filled",161,287101747,sjurney@groovestreet.com,3/20/2006,325,aboord@faxquote.com,99,63,,98,jpoquette@ron-tech.com
99,Ace,male,TRUE,FALSE,8/21/2019,My child moved to college and left their animal behind., was a stray who found his way to Rescue.  He is a senior guy but acts an,25,NULL,jgiguere@openlane.com,7/21/2017,63,lpadilla@conecom.com,100,227,,99,msetter@fasehatice.com
100,Cleo,unknown,TRUE,FALSE,8/27/2019,I don't want the dog to scratch my new floors., This gorgeous boy is a Saint Bernard mix. He is,25,NULL,fcrupi@rangreen.com,7/27/2017,227,snicka@year-job.com,101,194,,100,lbayless@sumace.com
101,Marley,female,TRUE,FALSE,8/28/2019,I have decided I am allergic to the animal., We don't know what happened to him before he arrived,71,NULL,smaclead@openlane.com,9/28/2013,194,adenooyer@kinnamplus.com,102,133,,101,brhym@dambase.com
102,Shadow,female,TRUE,FALSE,8/29/2019,problems with the cat soiling outside the litter box,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,247,NULL,gmatuszak@green-plus.com,1/29/1999,133,cpugh@domzoom.com,103,180,,102,esaylors@groovestreet.com
103,Grace,female,TRUE,TRUE,9/2/2019,I need to surrender my dog because I just had my carpets cleaned., he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,107,7588184201,mdeleo@funholding.com,10/2/2010,180,lbayless@sumace.com,104,232,,103,dscipione@dambase.com
104,Ginger,female,TRUE,FALSE,9/5/2019,didn't know the cat would sleep all day,  I came from a shelter that euthanizes over a hundred animals a week. I turned on,34,9563679426,smaclead@openlane.com,11/5/2016,232,kharnos@conecom.com,105,294,,104,aspickerman@green-plus.com
