dog_id,dog_name,sex,description,alteration_status,dob,surrender_date,surrender_reason,surrendered_by_animal_control,applicant_email,volunteer_email
13,Diesel,Unknown,"  is a sweet girl that loves her people once she knows you. She is an easy going gi",1,2005-08-31,2019-01-31,"My dogs pees on my baby.",0,fdelasancha@inity.com,cvonasek@toughzap.com
14,Sally,Female,"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",1,2015-04-07,2019-02-07,"I don't want the dog to scratch my new floors.",0,cpugh@domzoom.com,jgiguere@openlane.com
15,Maya,Female,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",1,2011-04-12,2019-02-12,"I didn't know that owning an animal was this expensive",0,mhollack@scottech.com,dkeetch@golddex.com
16,Honey,Female,"  enjoys car rides and loves playing alon",1,2011-09-13,2019-02-13,"don't like the way the dog reacted to a child",0,hmenter@doncon.com,ncoyier@funholding.com
17,Lulu,Female," LOVES toys and has been entertaining himself in his run. But it's so much nicer to see",1,2016-09-14,2019-02-14,"don't like the way the dog reacted to a child",0,snicka@year-job.com,ncoyier@funholding.com
18,Elvis,Male,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",0,2016-02-18,2019-02-18,"My child moved to college and left their animal behind.",0,NULL,mdeleo@funholding.com
19,Marley,Female," This beautiful girl found herself homeless just before the holidays and no",1,2016-02-18,2019-02-18,"upset that the dog chewed on something or had an accident",0,eadkin@stanredtax.com,mdeleo@funholding.com
20,Mimi,Female,"is a sweet girl who would love to be in a new home for the holidays! She is 3 years old",1,2015-06-19,2019-02-19,"problems with the cat soiling outside the litter box",0,eperigo@plussunin.com,jgiguere@openlane.com
21,Lilly,Female,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",1,2014-10-19,2019-02-19,"I have decided I am allergic to the animal.",0,jrestrepo@konmatfix.com,lmenter@plexzap.com
22,Oliver,Male," Handsome and elegant - that's how they describe him; was found as a str",1,2015-10-20,2019-02-20,"problems with the cat soiling outside the litter box",1,bpoullion@opentech.com,srodefer@ontomedia.com
23,Abby,Female," This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh",1,1996-12-21,2019-02-21,"I had no idea that animals were this much work.",1,snicka@year-job.com,dmontezuma@green-plus.com
24,Lacey,Unknown," is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o",1,2013-05-25,2019-02-25,"The animal has a behavior that I don't want to try to work with and correct.",0,mreiber@scottech.com,cvonasek@toughzap.com
25,Willow,Female," This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o",1,1997-10-26,2019-02-26,"I don't want to be responsible for the animal anymore.",0,brhym@dambase.com,cjurney@groovestreet.com
26,Honey,Female," Our girl may look like a plain little black dog but she is anything but ordinary!  Th",1,2008-11-04,2019-03-04,"The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.",0,kharnos@conecom.com,cvonasek@toughzap.com
27,Marley,Female," is a super sweet boxer/dane mix!  He came from a rural animal contro",1,1998-06-13,2019-03-13,"Landlord won't let me keep the animal.",0,estenseth@cancity.com,dmontezuma@green-plus.com
28,Phoebe,Unknown,"was adopted from us when he was 2 months old.  He was just returned because they do",1,2005-03-14,2019-03-14,"the pet sheds too much",1,jblackwood@dambase.com,mo@burdell.com
29,Hazel,Female,"This gorgeous girl hails from Puerto Rico. She is a 3-year-old P",1,1997-03-18,2019-03-18,"The dog barks too much or the cat meows too much.",0,esaylors@y-corporation.com,dmontezuma@green-plus.com
30,Emma,Female,"  was rescued after she gave birth under a house in rural Texas. She'd been living on the ",1,2011-10-20,2019-03-20,"don't know how to handle the animal's medical needs",0,lhamilton@labdrill.com,mdeleo@funholding.com
31,Duke,Male," is such a doll! She was recently rescued from euthanasia in a Texas shelt",1,2009-04-27,2019-03-27,"haven't thought about any other options",0,ldevreese@sonron.com,tmarrier@hottechi.com
32,Minnie,Female,"  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ",1,2015-05-28,2019-03-28,"The animal turned 10 and you surrender the animal when it reaches that age.",0,cpaulas@opentech.com,dmontezuma@green-plus.com
33,Cooper,Male," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",1,2013-11-29,2019-03-29,"upset that the dog bit somebody",0,ggalam@ron-tech.com,srodefer@ontomedia.com
34,Luna,Female,"  enjoys car rides and loves playing alon",1,2016-10-01,2019-04-01,"I need to surrender my dog because I just had my carpets cleaned.",1,agillaspie@golddex.com,gmatuszak@green-plus.com
35,Sydney,Female,"Meet a handsome black Lab mix who's almost 5 years old",1,2018-12-02,2019-04-02,"The animal attacks me and my family.",0,lschoeneck@streethex.com,barias@xx-holding.com
36,Ruby,Female,"is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do",1,2011-07-03,2019-04-03,"My child went to jail and I don't want their animal.",0,troyster@kan-code.com,vmenter@silis.com
37,Jake,Male,"  If you're looking for a sporty new best friend to hang out with, this is your guy",1,2002-02-04,2019-04-04,"My dogs pees on my baby.",0,dgellinger@dambase.com,smaclead@openlane.com
38,Bandit,Male," When their dad passed away in a tragic accident, he and his "sister""  "",1,2018-04-05,2019-04-05,"didn't know the cat would sleep all day",0,jspickerman@y-corporation.com,mmallett@konex.com
39,Jackson,Male,"  came to rescue in a starved state. Despite this, she has so much love to give. She g",1,2012-02-11,2019-04-11,"The dog barks too much or the cat meows too much.",0,adenooyer@kinnamplus.com,barias@xx-holding.com
40,Bentley,Male,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",1,2018-06-15,2019-04-15,"I have decided that my family is allergic to the animal.",0,hcallaro@cancity.com,nbatman@ron-tech.com
41,Champ,Male," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",1,2016-11-15,2019-04-15,"I need to surrender my dog because it chewed my sprinkler heads.",0,awildfong@conecom.com,jsweely@fasehatice.com
42,Gigi,Female," This adorable boy is Tango Barnwell.  He wou",1,2000-02-16,2019-04-16,"upset that the dog chewed on something or had an accident",0,lmonarrez@goodsilron.com,mo@burdell.com
43,Charlie,Female," is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen",1,2016-06-17,2019-04-17,"I don't want the dog to scratch my new floors.",0,lkippley@golddex.com,smaclead@openlane.com
44,Chester,Male,"is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard",1,2014-09-18,2019-04-18,"My doctor told me that the cat will suck the life out of my newborn baby.",0,hgwalthney@funholding.com,rdiestel@goodsilron.com
45,Lucky,Female," This gorgeous boy is a Saint Bernard mix. He is",1,2014-10-19,2019-04-19,"I don't want to be responsible for the animal anymore.",0,esaylors@y-corporation.com,cvonasek@toughzap.com
46,Riley,Female,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",1,2015-08-24,2019-04-24,"moving and don't want to take the dog along",1,cscipione@kan-code.com,dmontezuma@green-plus.com
47,Oliver,Male," This gorgeous boy is a Saint Bernard mix. He is",1,2003-03-01,2019-05-01,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.",0,acoyier@hottechi.com,mmallett@konex.com
48,Madison,Female,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",1,2014-12-01,2019-05-01,"I don't want the dog to scratch my new floors.",0,lbayless@sumace.com,nbatman@ron-tech.com
49,Marley,Female,"  along with his littermates and mom, was rescued from euthanasia a",1,2013-01-08,2019-05-08,""My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!"",0,kweglarz@streethex.com,mmallett@konex.com
50,Annie,Female," was homeless and roaming the streets which eventually led to his being picked-up",1,2009-03-10,2019-05-10,"The animal doesn't match my new furniture.",0,cpagliuca@betasoloin.com,sahle@treequote.com
51,Midnight,Unknown,"  is so smart and curious too.  She's becoming a TV binge watching c",1,1997-05-10,2019-05-10,"My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!",0,kharnos@conecom.com,cjurney@groovestreet.com
52,Louie,Male," he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ",1,2004-02-14,2019-05-14,"My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!",0,kweglarz@streethex.com,barias@xx-holding.com
53,Cleo,Female," is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day",1,2016-01-15,2019-05-15,"I need to surrender my dog because it chewed my sprinkler heads.",1,afigeroa@labdrill.com,asmith@zotware.com
54,Piper,Unknown,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",1,2018-05-16,2019-05-16,"I didn't know I adopted a boy/girl animal.",0,mhollack@scottech.com,cjurney@groovestreet.com
55,Brady,Unknown," came to us with an injury to her skin on her back. She looks like someone burned her. She ",1,2015-02-16,2019-05-16,"I don't have time for the animal.",0,ccoody@sonron.com,kmunns@yearin.com
56,Moose,Male," was a stray who found his way to Rescue.  He is a senior guy but acts an",1,2017-01-21,2019-05-21,"The animal doesn't match my new furniture.",0,rgarufi@bioplex.com,sahle@treequote.com
57,Roxie,Female," is a sweet girl who was separated from her litter after having to have a lifesaving blood tr",1,2018-09-22,2019-05-22,"I have decided that my family is allergic to the animal.",0,jpoquette@ron-tech.com,fcrupi@rangreen.com
58,Oscar,Male,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",1,2016-05-27,2019-05-27,"don't like the way the dog reacted to a child",0,lstockham@j-texon.com,jgiguere@openlane.com
59,Penny,Female," is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you",1,2019-03-31,2019-05-31,"I "Found"" the animal."",0,lkippley@golddex.com,rdiestel@goodsilron.com
60,Elvis,Male," We don't know what happened to him before he arrived",1,2003-02-05,2019-06-05,"I got a new house and don't want it.",1,gkines@inity.com,lmenter@plexzap.com
61,Blue,Male," If you're looking for a no brainer, check out this girl. She is a really E",1,2011-09-06,2019-06-06,"The animal turned 10 and you surrender the animal when it reaches that age.",0,lflister@hottechi.com,rdiestel@goodsilron.com
62,Bentley,Male,"is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha",1,2013-11-06,2019-06-06,"My doctor told me that the cat will suck the life out of my newborn baby.",0,ebowley@ganjaflex.com,ncoyier@funholding.com
63,Maggie,Female," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",1,1998-03-10,2019-06-10,"don't know how to handle the animal's medical needs",0,mhoopengardner@xx-holding.com,dkeetch@golddex.com
64,Cooper,Male,"    has the floppiest ears and the saddest eyes, but ",1,2005-05-12,2019-06-12,"The dog barks too much or the cat meows too much.",0,aspickerman@green-plus.com,lmenter@plexzap.com
65,Loki,Male,"  was being given away for free on a neighborhood site in Texas because a child in the home w",1,1998-08-14,2019-06-14,"problems with the cat soiling outside the litter box",1,estenseth@cancity.com,kmunns@yearin.com
66,Champ,Unknown,"  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved",1,1999-06-14,2019-06-14,"The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.",1,msarao@newex.com,jsweely@fasehatice.com
67,Zoey,Female,"We are looking for a home for our dog . He was born in December of 2015",1,2014-07-17,2019-06-17,"The animal attacks me and my family.",0,kbenimadho@donquadtech.com,nbatman@ron-tech.com
68,Joey,Male," This beautiful boy  was adopted out as a puppy to a loving couple but recently has c",1,2016-07-18,2019-06-18,"upset that the dog bit somebody",0,jkarpel@mathtouch.com,walbares@conecom.com
69,Charlie,Female,"is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the",1,2013-12-20,2019-06-20,"My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!",1,aspickerman@green-plus.com,sjurney@groovestreet.com
70,Annie,Female,"is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha",1,2014-12-25,2019-06-25,"The animal turned 10 and you surrender the animal when it reaches that age.",1,dscipione@dambase.com,fcrupi@rangreen.com
71,Blue,Male,"  needs a new home ASAP as the landlord says he has to go!! Here is what his mom say",1,1999-01-01,2019-07-01,"I need to surrender my dog because it chewed my sprinkler heads.",0,szepp@dalttechnology.com,walbares@conecom.com
72,Beau,Male,"is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha",1,2010-09-04,2019-07-04,"The kitten opened the refrigerator and ruined $200.00 in food.",0,cfelger@stanredtax.com,kmunns@yearin.com
73,Holly,Female," was homeless and roaming the streets which eventually led to his being picked-up",1,2009-09-08,2019-07-08,"My child went to jail and I don't want their animal.",0,chirpara@rantouch.com,jgiguere@openlane.com
74,Bubba,Unknown,"  is a friendly handsome boy that needs his forever home. Please fill out an application a",1,2007-11-09,2019-07-09,"The dog barks too much or the cat meows too much.",0,rhollack@plexzap.com,jsweely@fasehatice.com
75,Joey,Male,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",1,2006-08-11,2019-07-11,"the pet sheds too much",0,ahoogland@doncon.com,edubaldi@finhigh.com
76,Harley,Male," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",1,2016-06-11,2019-07-11,"I "Found"" the animal."",0,vknipp@year-job.com,walbares@conecom.com
77,Harley,Unknown,"was adopted from us when he was 2 months old.  He was just returned because they do",1,2015-12-12,2019-07-12,"The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.",0,msarao@newex.com,lmenter@plexzap.com
78,Marley,Female,"   I'm an absolute awesome dog and I love all people. My foster says I have",1,2008-09-15,2019-07-15,"I am going to have a child and don't want the animal anymore.",0,msarao@newex.com,sjurney@groovestreet.com
79,Bonnie,Female,"  along with his littermates and mom, was rescued from euthanasia a",1,2019-05-16,2019-07-16,"don't have time for the dog anymore",0,esaylors@y-corporation.com,sjurney@groovestreet.com
80,Sugar,Female,"is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard",1,2018-01-17,2019-07-17,"I didn't know I adopted a boy/girl animal.",0,jmirafuentes@rangreen.com,smaclead@openlane.com
81,Bonnie,Female,"We are looking for a home for our dog . He was born in December of 2015",1,2014-03-19,2019-07-19,"haven't thought about any other options",1,mskulski@sumace.com,jgiguere@openlane.com
82,Boomer,Male,"  loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha",1,2018-04-22,2019-07-22,"The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.",0,wstockham@zotware.com,ncoyier@funholding.com
83,Annie,Female,"  was rescued after she gave birth under a house in rural Texas. She'd been living on the ",1,2009-03-23,2019-07-23,"I have decided that my family is allergic to the animal.",0,smeteer@dalttechnology.com,fcrupi@rangreen.com
84,Piper,Female,"From his owner:  Please help me find a new home for my dog , an 8 year old German Sh",1,2014-10-23,2019-07-23,"My dogs pees on my baby.",0,egrenet@y-corporation.com,ncoyier@funholding.com
85,Sally,Female,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",1,1998-04-24,2019-07-24,"My child went to jail and I don't want their animal.",0,lkippley@golddex.com,jsweely@fasehatice.com
86,Bandit,Male,"Meet a handsome black Lab mix who's almost 5 years old",1,2010-09-25,2019-07-25,"can't or don't want to handle the costs of the pet's needs",0,aostolaza@finjob.com,mdeleo@funholding.com
87,Macy,Female,"Meet a handsome black Lab mix who's almost 5 years old",1,2013-10-30,2019-07-30,"the pet sheds too much",0,jmirafuentes@rangreen.com,gmatuszak@green-plus.com
88,Cash,Male," would be a wonderful addition to your family as long as she's the only fur",1,2006-03-03,2019-07-31,"I didn't know that owning an animal was this expensive",0,bdiestel@condax.com,gmatuszak@green-plus.com
89,Sheldon,Unknown,"  is an adorable boy that is friendly and does very well with other cats. If interested please",1,1997-04-01,2019-08-01,"I didn't know that owning an animal was this expensive",0,hgwalthney@funholding.com,mdeleo@funholding.com
90,Brutus,Male," she was being given away in the back of a gas station in a rural Texas town when one of our",1,2014-09-02,2019-08-02,"I didn't know that owning an animal was this expensive",0,agillaspie@golddex.com,dmontezuma@green-plus.com
91,Sassy,Female,"is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the",1,2006-04-02,2019-08-02,"I don't want to be responsible for the animal anymore.",0,cpugh@domzoom.com,lmenter@plexzap.com
92,Athena,Female,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",1,1997-08-07,2019-08-07,"think the dog is too hyper",0,cpugh@domzoom.com,sahle@treequote.com
93,Mac,Male," would be a wonderful addition to your family as long as she's the only fur",1,2014-07-07,2019-08-07,"having 'personal problems'",0,vlouissant@sunnamplex.com,nbatman@ron-tech.com
94,Lexi,Female," Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s",1,2010-01-14,2019-08-14,"moving and don't want to take the dog along",0,mbolognia@finjob.com,vmenter@silis.com
95,Ella,Unknown,"  I'm trying to find a home for a dog,  who I rescued from a trail",1,2016-02-15,2019-08-15,"think the dog is too hyper",1,aspickerman@green-plus.com,srodefer@ontomedia.com
96,Brady,Male,"  enjoys car rides and loves playing alon",1,1997-06-16,2019-08-16,"decided they have too many animals at home",0,msarao@newex.com,sjurney@groovestreet.com
97,Lucky,Female," is an adorable dog with a classic Bulldog face.  He was pulled from a high kill shelter ",1,2015-11-19,2019-08-19,"problems with the cat soiling outside the litter box",0,vkeener@kan-code.com,dmontezuma@green-plus.com
98,Mocha,Unknown,"is a senior boy, 11-12 years old, the life he led before being rescued was filled",1,2006-03-20,2019-08-20,"having 'personal problems'",1,aboord@faxquote.com,sjurney@groovestreet.com
99,Ace,Male," was a stray who found his way to Rescue.  He is a senior guy but acts an",1,2017-07-21,2019-08-21,"My child moved to college and left their animal behind.",0,lpadilla@conecom.com,jgiguere@openlane.com
100,Cleo,Unknown," This gorgeous boy is a Saint Bernard mix. He is",1,2017-07-27,2019-08-27,"I don't want the dog to scratch my new floors.",0,snicka@year-job.com,fcrupi@rangreen.com
101,Marley,Female," We don't know what happened to him before he arrived",1,2013-09-28,2019-08-28,"I have decided I am allergic to the animal.",0,adenooyer@kinnamplus.com,smaclead@openlane.com
102,Shadow,Female,"  was rescued after she gave birth under a house in rural Texas. She'd been living on the ",1,1999-01-29,2019-08-29,"problems with the cat soiling outside the litter box",0,cpugh@domzoom.com,gmatuszak@green-plus.com
103,Grace,Female," he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ",1,2010-10-02,2019-09-02,"I need to surrender my dog because I just had my carpets cleaned.",1,lbayless@sumace.com,mdeleo@funholding.com
104,Ginger,Female,"  I came from a shelter that euthanizes over a hundred animals a week. I turned on",1,2016-11-05,2019-09-05,"didn't know the cat would sleep all day",0,kharnos@conecom.com,smaclead@openlane.com
105,Jake,Male," Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c",1,2000-05-06,2019-09-06,"The animal pooped/peed on the floor.",0,cperruzza@doncon.com,jgiguere@openlane.com
106,Lily,Female," is a super sweet boxer/dane mix!  He came from a rural animal contro",1,2004-05-09,2019-09-09,"haven't thought about any other options",0,jdiscipio@singletechno.com,mo@burdell.com
107,Beau,Male,"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",1,2010-10-10,2019-09-10,"having 'personal problems'",1,cmorasca@ganjaflex.com,sahle@treequote.com
108,Gracie,Female,"  was being given away for free on a neighborhood site in Texas because a child in the home w",1,2018-05-13,2019-09-13,"The animal has a behavior that I don't want to try to work with and correct.",0,vknipp@year-job.com,asmith@zotware.com
109,Casey,Female,"  along with his littermates and mom, was rescued from euthanasia a",1,2014-10-19,2019-09-19,"I got a new house and don't want it.",0,lmorocco@year-job.com,mdeleo@funholding.com
110,Olive,Unknown,"is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59",1,2013-04-26,2019-09-26,"having 'personal problems'",0,xdubaldi@iselectrics.com,sahle@treequote.com
111,Sally,Female," Our girl may look like a plain little black dog but she is anything but ordinary!  Th",1,2017-10-26,2019-09-26,"don't know how to handle the animal's medical needs",0,ghalter@konmatfix.com,ncoyier@funholding.com
112,Brody,Male,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",1,1999-03-01,2019-10-01,"don't know how to handle the animal's medical needs",0,hgwalthney@funholding.com,tmarrier@hottechi.com
113,Chico,Male,"is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59",1,2006-08-07,2019-10-07,"haven't thought about any other options",0,jpoquette@ron-tech.com,jgiguere@openlane.com
114,Lola,Female," Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live",1,2007-01-07,2019-10-07,"having 'personal problems'",0,ebowley@ganjaflex.com,gmatuszak@green-plus.com
115,Cali,Female," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",1,2015-03-08,2019-10-08,"My dogs pees on my baby.",0,acoyier@hottechi.com,mdeleo@funholding.com
116,Sally,Female," This adorable boy is Tango Barnwell.  He wou",1,2014-05-09,2019-10-09,"I had no idea that animals were this much work.",0,anievas@rangreen.com,jgiguere@openlane.com
117,Shelby,Female,"  along with his littermates and mom, was rescued from euthanasia a",1,2014-09-09,2019-10-09,"don't know how to handle the animal's medical needs",0,yisenhower@dambase.com,cjurney@groovestreet.com
118,George,Male," When their dad passed away in a tragic accident, he and his "sister""  "",1,2016-07-10,2019-10-10,"I don't have time for the animal.",0,rbourbon@lexiqvolax.com,vmenter@silis.com
119,Gus,Male,"  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I",1,2004-12-10,2019-10-10,"I don't want to be responsible for the animal anymore.",0,brestrepo@xx-holding.com,nbatman@ron-tech.com
120,Chico,Male,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",1,2011-04-14,2019-10-14,"upset that the dog bit somebody",0,jpoquette@ron-tech.com,kmunns@yearin.com
121,Emma,Female,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",1,1997-11-16,2019-10-16,"The animal pooped/peed on the floor.",0,kharnos@conecom.com,nbatman@ron-tech.com
122,Lilly,Female," Our girl may look like a plain little black dog but she is anything but ordinary!  Th",1,2016-07-17,2019-10-17,"I got a new house and don't want it.",0,ahoogland@y-corporation.com,barias@xx-holding.com
123,Sally,Female," When their dad passed away in a tragic accident, he and his "sister""  "",1,2015-09-25,2019-10-25,"I am moving and I can't take them with me.",0,mreiber@scottech.com,mmallett@konex.com
124,Pebbles,Female,"Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in",1,1999-02-28,2019-10-28,"I need to surrender my dog because I just had my carpets cleaned.",0,arulapaugh@zencorporation.com,walbares@conecom.com
125,Nikki,Female," This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh",1,2016-01-01,2019-11-01,"Landlord won't let me keep the animal.",0,mbolognia@finjob.com,barias@xx-holding.com
126,Oreo,Male,"Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y",1,2018-02-04,2019-11-04,"The animal chews and I don't want my belongings destroyed.",0,lbayless@sumace.com,smaclead@openlane.com
127,Piper,Female,"was adopted from us when he was 2 months old.  He was just returned because they do",1,2015-03-07,2019-11-07,"The animal chews and I don't want my belongings destroyed.",0,icaldarera@yearin.com,lmenter@plexzap.com
128,Brandy,Female,"  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I",1,2012-04-11,2019-11-11,"The animal has a behavior that I don't want to try to work with and correct.",0,kmyricks@groovestreet.com,rdiestel@goodsilron.com
129,Dakota,Female," is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen",1,2006-08-11,2019-11-11,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.",0,acoyier@hottechi.com,jgiguere@openlane.com
130,Max,Male," Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live",1,2018-09-12,2019-11-12,"I got a new house and don't want it.",0,mskulski@sumace.com,cvonasek@toughzap.com
131,Leo,Male," she was being given away in the back of a gas station in a rural Texas town when one of our",1,2015-12-13,2019-11-13,"The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.",0,nhaufler@zencorporation.com,nbatman@ron-tech.com
132,Cleo,Female," would be a wonderful addition to your family as long as she's the only fur",1,1998-03-15,2019-11-15,"I am moving and I can't take them with me.",0,brhym@dambase.com,kmunns@yearin.com
133,Bo,Male,"is a 12-week-old Black Cur mix pup who got adopted and who thought he had found his fo",1,2013-09-18,2019-11-18,"The animal doesn't match my new furniture.",0,lpadilla@conecom.com,kmunns@yearin.com
134,Benny,Male," was homeless and roaming the streets which eventually led to his being picked-up",1,2007-07-18,2019-11-18,"decided they have too many animals at home",0,esaylors@y-corporation.com,asmith@zotware.com
135,Honey,Female," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",1,2008-02-19,2019-11-19,"I don't want the dog to scratch my new floors.",0,aboord@faxquote.com,rdiestel@goodsilron.com
136,Ace,Male," When her dad passed away in a tragic accident, she and her "brother""  found themselv"",1,1999-10-20,2019-11-20,"I didn't know that owning an animal was this expensive",0,ncartan@statholdings.com,ncoyier@funholding.com
137,Athena,Female,"  is a two and a half old and such a sweetheart.   loves the car and likes ",1,2010-04-20,2019-11-20,"decided they have too many animals at home",0,dseewald@goodsilron.com,dmontezuma@green-plus.com
