dog_id,dog_name,sex,alt_status,animal_control,surrender_date,surrender_reason,description,age_months,microchip,email,DOB,a_email
21,Lilly,female,1,0,2019-02-19,I have decided I am allergic to the animal.,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",52,NULL,lmenter@plexzap.com,2014-10-19,jrestrepo@konmatfix.com
22,Oliver,male,1,1,2019-02-20,problems with the cat soiling outside the litter box, Handsome and elegant - that's how they describe him; was found as a str,40,NULL,srodefer@ontomedia.com,2015-10-20,bpoullion@opentech.com
23,Abby,female,1,1,2019-02-21,I had no idea that animals were this much work., This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh,266,NULL,dmontezuma@green-plus.com,1996-12-21,snicka@year-job.com
24,Lacey,unknown,1,0,2019-02-25,The animal has a behavior that I don't want to try to work with and correct., is a sweet but shy Lab/Terrier mix puppy who will be making his way to NJ o,69,1324307979,cvonasek@toughzap.com,2013-05-25,mreiber@scottech.com
25,Willow,female,1,0,2019-02-26,I don't want to be responsible for the animal anymore.," This pretty girl needs a family!! Was adopted out as a puppy, but due to no fault of her o",256,NULL,cjurney@groovestreet.com,1997-10-26,brhym@dambase.com
26,Honey,female,1,0,2019-03-04,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore., Our girl may look like a plain little black dog but she is anything but ordinary!  Th,124,NULL,cvonasek@toughzap.com,2008-11-04,kharnos@conecom.com
27,Marley,female,1,0,2019-03-13,Landlord won't let me keep the animal., is a super sweet boxer/dane mix!  He came from a rural animal contro,249,NULL,dmontezuma@green-plus.com,1998-06-13,estenseth@cancity.com
28,Phoebe,unknown,1,1,2019-03-14,the pet sheds too much,was adopted from us when he was 2 months old.  He was just returned because they do,168,447698661,mo@burdell.com,2005-03-14,jblackwood@dambase.com
29,Hazel,female,1,0,2019-03-18,The dog barks too much or the cat meows too much.,This gorgeous girl hails from Puerto Rico. She is a 3-year-old P,264,9544917421,dmontezuma@green-plus.com,1997-03-18,esaylors@y-corporation.com
30,Emma,female,1,0,2019-03-20,don't know how to handle the animal's medical needs,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,89,NULL,mdeleo@funholding.com,2011-10-20,lhamilton@labdrill.com
31,Duke,male,1,0,2019-03-27,haven't thought about any other options, is such a doll! She was recently rescued from euthanasia in a Texas shelt,119,NULL,tmarrier@hottechi.com,2009-04-27,ldevreese@sonron.com
32,Minnie,female,1,0,2019-03-28,The animal turned 10 and you surrender the animal when it reaches that age.,  was found curled up in a shivering ball one frosty morning in the landscaping outside of a ,46,4142103190,dmontezuma@green-plus.com,2015-05-28,cpaulas@opentech.com
33,Cooper,male,1,0,2019-03-29,upset that the dog bit somebody," is a fun, energetic girl who was found as a stray in south Texas.  Her owners refused ",64,NULL,srodefer@ontomedia.com,2013-11-29,ggalam@ron-tech.com
34,Luna,female,1,1,2019-04-01,I need to surrender my dog because I just had my carpets cleaned.,  enjoys car rides and loves playing alon,30,8686396700,gmatuszak@green-plus.com,2016-10-01,agillaspie@golddex.com
35,Sydney,female,1,0,2019-04-02,The animal attacks me and my family.,Meet a handsome black Lab mix who's almost 5 years old,4,NULL,barias@xx-holding.com,2018-12-02,lschoeneck@streethex.com
36,Ruby,female,1,0,2019-04-03,My child went to jail and I don't want their animal.,is a handsome 3 1/2 year old Shepherd mix. He is good with other dogs.  He would do,93,624367218,vmenter@silis.com,2011-07-03,troyster@kan-code.com
37,Jake,male,1,0,2019-04-04,My dogs pees on my baby.,"  If you're looking for a sporty new best friend to hang out with, this is your guy",206,6850378225,smaclead@openlane.com,2002-02-04,dgellinger@dambase.com
38,Bandit,male,1,0,2019-04-05,didn't know the cat would sleep all day," When their dad passed away in a tragic accident, he and his ""sister""  ",12,4018693437,mmallett@konex.com,2018-04-05,jspickerman@y-corporation.com
39,Jackson,male,1,0,2019-04-11,The dog barks too much or the cat meows too much.,"  came to rescue in a starved state. Despite this, she has so much love to give. She g",86,NULL,barias@xx-holding.com,2012-02-11,adenooyer@kinnamplus.com
40,Bentley,male,1,0,2019-04-15,I have decided that my family is allergic to the animal.,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",10,NULL,nbatman@ron-tech.com,2018-06-15,hcallaro@cancity.com
41,Champ,male,1,0,2019-04-15,I need to surrender my dog because it chewed my sprinkler heads.," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",29,1237604775,jsweely@fasehatice.com,2016-11-15,awildfong@conecom.com
42,Gigi,female,1,0,2019-04-16,upset that the dog chewed on something or had an accident, This adorable boy is Tango Barnwell.  He wou,230,NULL,mo@burdell.com,2000-02-16,lmonarrez@goodsilron.com
43,Charlie,female,1,0,2019-04-17,I don't want the dog to scratch my new floors., is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen,34,NULL,smaclead@openlane.com,2016-06-17,lkippley@golddex.com
44,Chester,male,1,0,2019-04-18,My doctor told me that the cat will suck the life out of my newborn baby.,is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard,55,NULL,rdiestel@goodsilron.com,2014-09-18,hgwalthney@funholding.com
45,Lucky,female,1,0,2019-04-19,I don't want to be responsible for the animal anymore., This gorgeous boy is a Saint Bernard mix. He is,54,7168262500,cvonasek@toughzap.com,2014-10-19,esaylors@y-corporation.com
46,Riley,female,1,1,2019-04-24,moving and don't want to take the dog along,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",44,NULL,dmontezuma@green-plus.com,2015-08-24,cscipione@kan-code.com
47,Oliver,male,1,0,2019-05-01,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.", This gorgeous boy is a Saint Bernard mix. He is,194,9131352554,mmallett@konex.com,2003-03-01,acoyier@hottechi.com
48,Madison,female,1,0,2019-05-01,I don't want the dog to scratch my new floors.,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",53,601033509,nbatman@ron-tech.com,2014-12-01,lbayless@sumace.com
49,Marley,female,1,0,2019-05-08,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”","  along with his littermates and mom, was rescued from euthanasia a",76,2202768589,mmallett@konex.com,2013-01-08,kweglarz@streethex.com
50,Annie,female,1,0,2019-05-10,The animal doesn't match my new furniture., was homeless and roaming the streets which eventually led to his being picked-up,122,NULL,sahle@treequote.com,2009-03-10,cpagliuca@betasoloin.com
51,Midnight,unknown,1,0,2019-05-10,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”",  is so smart and curious too.  She's becoming a TV binge watching c,264,NULL,cjurney@groovestreet.com,1997-05-10,kharnos@conecom.com
52,Louie,male,1,0,2019-05-14,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”", he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,183,NULL,barias@xx-holding.com,2004-02-14,kweglarz@streethex.com
53,Cleo,female,1,1,2019-05-15,I need to surrender my dog because it chewed my sprinkler heads.," is a ball-chasing, attention-loving, breathtakingly gorgeous boy.  A perfect day",40,5395133308,asmith@zotware.com,2016-01-15,afigeroa@labdrill.com
54,Piper,unknown,1,0,2019-05-16,I didn't know I adopted a boy/girl animal.,"  is in foster and here's what her foster has to say: Meet the most lovable, frie",12,3406020447,cjurney@groovestreet.com,2018-05-16,mhollack@scottech.com
55,Brady,unknown,1,0,2019-05-16,I don't have time for the animal., came to us with an injury to her skin on her back. She looks like someone burned her. She ,51,NULL,kmunns@yearin.com,2015-02-16,ccoody@sonron.com
56,Moose,male,1,0,2019-05-21,The animal doesn't match my new furniture., was a stray who found his way to Rescue.  He is a senior guy but acts an,28,NULL,sahle@treequote.com,2017-01-21,rgarufi@bioplex.com
57,Roxie,female,1,0,2019-05-22,I have decided that my family is allergic to the animal., is a sweet girl who was separated from her litter after having to have a lifesaving blood tr,8,3822482038,fcrupi@rangreen.com,2018-09-22,jpoquette@ron-tech.com
58,Oscar,male,1,0,2019-05-27,don't like the way the dog reacted to a child,"   is a loving, young, playful bundle of joy & energy who would love to find herself ",36,2020593158,jgiguere@openlane.com,2016-05-27,lstockham@j-texon.com
59,Penny,female,1,0,2019-05-31,"I ""Found"" the animal.", is a big mush of a dog that enjoys the attention of people and smiles from ear to ear when you,2,6282761749,rdiestel@goodsilron.com,2019-03-31,lkippley@golddex.com
60,Elvis,male,1,1,2019-06-05,I got a new house and don't want it., We don't know what happened to him before he arrived,196,3168256198,lmenter@plexzap.com,2003-02-05,gkines@inity.com
61,Blue,male,1,0,2019-06-06,The animal turned 10 and you surrender the animal when it reaches that age.," If you're looking for a “no brainer”, check out this girl. She is a really E",93,NULL,rdiestel@goodsilron.com,2011-09-06,lflister@hottechi.com
62,Bentley,male,1,0,2019-06-06,My doctor told me that the cat will suck the life out of my newborn baby.,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,67,5365023748,ncoyier@funholding.com,2013-11-06,ebowley@ganjaflex.com
63,Maggie,female,1,0,2019-06-10,don't know how to handle the animal's medical needs," Looking for a happy, silly, sweet & funny pup?  Check out her as she is all these and m",255,4484362295,dkeetch@golddex.com,1998-03-10,mhoopengardner@xx-holding.com
64,Cooper,male,1,0,2019-06-12,The dog barks too much or the cat meows too much.,"    has the floppiest ears and the saddest eyes, but ",169,6210978022,lmenter@plexzap.com,2005-05-12,aspickerman@green-plus.com
65,Loki,male,1,1,2019-06-14,problems with the cat soiling outside the litter box,  was being given away for free on a neighborhood site in Texas because a child in the home w,250,1761032421,kmunns@yearin.com,1998-08-14,estenseth@cancity.com
66,Champ,unknown,1,1,2019-06-14,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,  was rescued from a kill shelter and is the sweetest thing ever. Just wants to be loved,240,NULL,jsweely@fasehatice.com,1999-06-14,msarao@newex.com
67,Zoey,female,1,0,2019-06-17,The animal attacks me and my family.,We are looking for a home for our dog . He was born in December of 2015,59,9185107913,nbatman@ron-tech.com,2014-07-17,kbenimadho@donquadtech.com
68,Joey,male,1,0,2019-06-18,upset that the dog bit somebody, This beautiful boy  was adopted out as a puppy to a loving couple but recently has c,35,NULL,walbares@conecom.com,2016-07-18,jkarpel@mathtouch.com
69,Charlie,female,1,1,2019-06-20,"”My cat is a w***e, she keeps getting pregnant by the neighbor's cat and the babies keep dying. This is the third time and I am done with this!”",is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the,66,2075926640,sjurney@groovestreet.com,2013-12-20,aspickerman@green-plus.com
70,Annie,female,1,1,2019-06-25,The animal turned 10 and you surrender the animal when it reaches that age.,is an 8 year old Pointer mix who is looking for a place to spend his golden years. This ha,54,NULL,fcrupi@rangreen.com,2014-12-25,dscipione@dambase.com
71,Blue,male,1,0,2019-07-01,I need to surrender my dog because it chewed my sprinkler heads.,  needs a new home ASAP as the landlord says he has to go!! Here is what his mom say,246,4648672566,walbares@conecom.com,1999-01-01,szepp@dalttechnology.com
72,Beau,male,1,0,2019-07-04,The kitten opened the refrigerator and ruined $200.00 in food.,is a very loving and affectionate 5 1/2 year old dog who is great with adults but he ha,106,4741762601,kmunns@yearin.com,2010-09-04,cfelger@stanredtax.com
73,Holly,female,1,0,2019-07-08,My child went to jail and I don't want their animal., was homeless and roaming the streets which eventually led to his being picked-up,118,NULL,jgiguere@openlane.com,2009-09-08,chirpara@rantouch.com
74,Bubba,unknown,1,0,2019-07-09,The dog barks too much or the cat meows too much.,  is a friendly handsome boy that needs his forever home. Please fill out an application a,140,3432397581,jsweely@fasehatice.com,2007-11-09,rhollack@plexzap.com
75,Joey,male,1,0,2019-07-11,the pet sheds too much,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",155,346401730,edubaldi@finhigh.com,2006-08-11,ahoogland@doncon.com
76,Harley,male,1,0,2019-07-11,"I ""Found"" the animal."," Meet this beautiful Carolina Dog mix has the biggest, cutest, pointy ears.  She ",37,NULL,walbares@conecom.com,2016-06-11,vknipp@year-job.com
77,Harley,unknown,1,0,2019-07-12,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,was adopted from us when he was 2 months old.  He was just returned because they do,43,8262987496,lmenter@plexzap.com,2015-12-12,msarao@newex.com
78,Marley,female,1,0,2019-07-15,I am going to have a child and don't want the animal anymore.,   I'm an absolute awesome dog and I love all people. My foster says I have,130,NULL,sjurney@groovestreet.com,2008-09-15,msarao@newex.com
79,Bonnie,female,1,0,2019-07-16,don't have time for the dog anymore,"  along with his littermates and mom, was rescued from euthanasia a",2,231531255,sjurney@groovestreet.com,2019-05-16,esaylors@y-corporation.com
80,Sugar,female,1,0,2019-07-17,I didn't know I adopted a boy/girl animal.,is a beautiful 2-year-old Border Collie/Lab mix weighing 55 lbs. who was rescued from a hoard,18,607362081,smaclead@openlane.com,2018-01-17,jmirafuentes@rangreen.com
81,Bonnie,female,1,1,2019-07-19,haven't thought about any other options,We are looking for a home for our dog . He was born in December of 2015,64,8410783889,jgiguere@openlane.com,2014-03-19,mskulski@sumace.com
82,Boomer,male,1,0,2019-07-22,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore.,"  loves to run and play! She gives the best hugs, and she also high fives and gives a firm ha",15,NULL,ncoyier@funholding.com,2018-04-22,wstockham@zotware.com
83,Annie,female,1,0,2019-07-23,I have decided that my family is allergic to the animal.,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,124,2684737194,fcrupi@rangreen.com,2009-03-23,smeteer@dalttechnology.com
84,Piper,female,1,0,2019-07-23,My dogs pees on my baby.,"From his owner:  Please help me find a new home for my dog , an 8 year old German Sh",57,NULL,ncoyier@funholding.com,2014-10-23,egrenet@y-corporation.com
85,Sally,female,1,0,2019-07-24,My child went to jail and I don't want their animal.,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",255,47708228,jsweely@fasehatice.com,1998-04-24,lkippley@golddex.com
86,Bandit,male,1,0,2019-07-25,can't or don't want to handle the costs of the pet's needs,Meet a handsome black Lab mix who's almost 5 years old,106,NULL,mdeleo@funholding.com,2010-09-25,aostolaza@finjob.com
87,Macy,female,1,0,2019-07-30,the pet sheds too much,Meet a handsome black Lab mix who's almost 5 years old,69,9360975341,gmatuszak@green-plus.com,2013-10-30,jmirafuentes@rangreen.com
88,Cash,male,1,0,2019-07-31,I didn't know that owning an animal was this expensive, would be a wonderful addition to your family as long as she's the only fur,161,NULL,gmatuszak@green-plus.com,2006-03-03,bdiestel@condax.com
89,Sheldon,unknown,1,0,2019-08-01,I didn't know that owning an animal was this expensive,  is an adorable boy that is friendly and does very well with other cats. If interested please,268,4270076427,mdeleo@funholding.com,1997-04-01,hgwalthney@funholding.com
90,Brutus,male,1,0,2019-08-02,I didn't know that owning an animal was this expensive, she was being given away in the back of a gas station in a rural Texas town when one of our,59,NULL,dmontezuma@green-plus.com,2014-09-02,agillaspie@golddex.com
91,Sassy,female,1,0,2019-08-02,I don't want to be responsible for the animal anymore.,is a 15 week old Lab mix weighing 9 pounds who lives up to her name with the,160,NULL,lmenter@plexzap.com,2006-04-02,cpugh@domzoom.com
92,Athena,female,1,0,2019-08-07,think the dog is too hyper,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",264,6159881717,sahle@treequote.com,1997-08-07,cpugh@domzoom.com
93,Mac,male,1,0,2019-08-07,having 'personal problems', would be a wonderful addition to your family as long as she's the only fur,61,NULL,nbatman@ron-tech.com,2014-07-07,vlouissant@sunnamplex.com
94,Lexi,female,1,0,2019-08-14,moving and don't want to take the dog along," Looking for a wonderful family pet? Please check out this pup with the wagging tail, he'd be s",115,9310470281,vmenter@silis.com,2010-01-14,mbolognia@finjob.com
95,Ella,unknown,1,1,2019-08-15,think the dog is too hyper,"  I'm trying to find a home for a dog,  who I rescued from a trail",42,NULL,srodefer@ontomedia.com,2016-02-15,aspickerman@green-plus.com
96,Brady,male,1,0,2019-08-16,decided they have too many animals at home,  enjoys car rides and loves playing alon,266,NULL,sjurney@groovestreet.com,1997-06-16,msarao@newex.com
97,Lucky,female,1,0,2019-08-19,problems with the cat soiling outside the litter box, is an adorable dog with a classic Bulldog face.  He was pulled from a high kill shelter ,45,NULL,dmontezuma@green-plus.com,2015-11-19,vkeener@kan-code.com
98,Mocha,unknown,1,1,2019-08-20,having 'personal problems',"is a senior boy, 11-12 years old, the life he led before being rescued was filled",161,287101747,sjurney@groovestreet.com,2006-03-20,aboord@faxquote.com
99,Ace,male,1,0,2019-08-21,My child moved to college and left their animal behind., was a stray who found his way to Rescue.  He is a senior guy but acts an,25,NULL,jgiguere@openlane.com,2017-07-21,lpadilla@conecom.com
100,Cleo,unknown,1,0,2019-08-27,I don't want the dog to scratch my new floors., This gorgeous boy is a Saint Bernard mix. He is,25,NULL,fcrupi@rangreen.com,2017-07-27,snicka@year-job.com
101,Marley,female,1,0,2019-08-28,I have decided I am allergic to the animal., We don't know what happened to him before he arrived,71,NULL,smaclead@openlane.com,2013-09-28,adenooyer@kinnamplus.com
102,Shadow,female,1,0,2019-08-29,problems with the cat soiling outside the litter box,  was rescued after she gave birth under a house in rural Texas. She'd been living on the ,247,NULL,gmatuszak@green-plus.com,1999-01-29,cpugh@domzoom.com
103,Grace,female,1,1,2019-09-02,I need to surrender my dog because I just had my carpets cleaned., he has had a hard start to his life! This little blue nose nugget of wiggles was scheduled ,107,7588184201,mdeleo@funholding.com,2010-10-02,lbayless@sumace.com
104,Ginger,female,1,0,2019-09-05,didn't know the cat would sleep all day,  I came from a shelter that euthanizes over a hundred animals a week. I turned on,34,9563679426,smaclead@openlane.com,2016-11-05,kharnos@conecom.com
105,Jake,male,1,0,2019-09-06,The animal pooped/peed on the floor.," Have you been looking for a Labrador Retriever to join your family? Labs have such great, goofy, c",232,9182621865,jgiguere@openlane.com,2000-05-06,cperruzza@doncon.com
106,Lily,female,1,0,2019-09-09,haven't thought about any other options, is a super sweet boxer/dane mix!  He came from a rural animal contro,184,NULL,mo@burdell.com,2004-05-09,jdiscipio@singletechno.com
107,Beau,male,1,1,2019-09-10,having 'personal problems',"a beautiful Hound mix, 7 years old, and weighing 43 pounds.",107,NULL,sahle@treequote.com,2010-10-10,cmorasca@ganjaflex.com
108,Gracie,female,1,0,2019-09-13,The animal has a behavior that I don't want to try to work with and correct.,  was being given away for free on a neighborhood site in Texas because a child in the home w,16,NULL,asmith@zotware.com,2018-05-13,vknipp@year-job.com
109,Casey,female,1,0,2019-09-19,I got a new house and don't want it.,"  along with his littermates and mom, was rescued from euthanasia a",59,7438950778,mdeleo@funholding.com,2014-10-19,lmorocco@year-job.com
110,Olive,unknown,1,0,2019-09-26,having 'personal problems',is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59,77,4230427909,sahle@treequote.com,2013-04-26,xdubaldi@iselectrics.com
111,Sally,female,1,0,2019-09-26,don't know how to handle the animal's medical needs, Our girl may look like a plain little black dog but she is anything but ordinary!  Th,23,9044340249,ncoyier@funholding.com,2017-10-26,ghalter@konmatfix.com
112,Brody,male,1,0,2019-10-01,don't know how to handle the animal's medical needs,"is a 4-year-old Boxer/Lab gal weighing 67 pounds, so of course the name is perfect. She ca",247,4922077392,tmarrier@hottechi.com,1999-03-01,hgwalthney@funholding.com
113,Chico,male,1,0,2019-10-07,haven't thought about any other options,is a very friendly and energetic Rottweiler mix who is7 years old & weighs 59,158,NULL,jgiguere@openlane.com,2006-08-07,jpoquette@ron-tech.com
114,Lola,female,1,0,2019-10-07,having 'personal problems', Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live,153,7638227325,gmatuszak@green-plus.com,2007-01-07,ebowley@ganjaflex.com
115,Cali,female,1,0,2019-10-08,My dogs pees on my baby.," has quite a resume.  He has graduated Basic I Obedience, Basic II Obedience, learned ",55,7289416436,mdeleo@funholding.com,2015-03-08,acoyier@hottechi.com
116,Sally,female,1,0,2019-10-09,I had no idea that animals were this much work., This adorable boy is Tango Barnwell.  He wou,65,506467113,jgiguere@openlane.com,2014-05-09,anievas@rangreen.com
117,Shelby,female,1,0,2019-10-09,don't know how to handle the animal's medical needs,"  along with his littermates and mom, was rescued from euthanasia a",61,NULL,cjurney@groovestreet.com,2014-09-09,yisenhower@dambase.com
118,George,male,1,0,2019-10-10,I don't have time for the animal.," When their dad passed away in a tragic accident, he and his ""sister""  ",39,845103394,vmenter@silis.com,2016-07-10,rbourbon@lexiqvolax.com
119,Gus,male,1,0,2019-10-10,I don't want to be responsible for the animal anymore.,  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I,178,NULL,nbatman@ron-tech.com,2004-12-10,brestrepo@xx-holding.com
120,Chico,male,1,0,2019-10-14,upset that the dog bit somebody,"is a goofy, exciteable, very well trained 8 year old pug-boxer-something mix who",102,4592937345,kmunns@yearin.com,2011-04-14,jpoquette@ron-tech.com
121,Emma,female,1,0,2019-10-16,The animal pooped/peed on the floor.,"is a 9-year-old Treeing Walker Hound, a playful boy who likes toys & like",263,5968663850,nbatman@ron-tech.com,1997-11-16,kharnos@conecom.com
122,Lilly,female,1,0,2019-10-17,I got a new house and don't want it., Our girl may look like a plain little black dog but she is anything but ordinary!  Th,39,2033815869,barias@xx-holding.com,2016-07-17,ahoogland@y-corporation.com
123,Sally,female,1,0,2019-10-25,I am moving and I can't take them with me.," When their dad passed away in a tragic accident, he and his ""sister""  ",49,7107074830,mmallett@konex.com,2015-09-25,mreiber@scottech.com
124,Pebbles,female,1,0,2019-10-28,I need to surrender my dog because I just had my carpets cleaned.,"Meet a 3 month old cuddly, lovable Terrier mix.  He was dumped in",248,7444632749,walbares@conecom.com,1999-02-28,arulapaugh@zencorporation.com
125,Nikki,female,1,0,2019-11-01,Landlord won't let me keep the animal., This gorgeous puppy; we believe that he is a Yellow Lab mixed with Siberian Husky and wh,46,9507138642,barias@xx-holding.com,2016-01-01,mbolognia@finjob.com
126,Oreo,male,1,0,2019-11-04,The animal chews and I don't want my belongings destroyed.,Look at that underbite!!! he is a 3 1/2 year old Terrier mix. He was in a home for a couple y,21,3076676382,smaclead@openlane.com,2018-02-04,lbayless@sumace.com
127,Piper,female,1,0,2019-11-07,The animal chews and I don't want my belongings destroyed.,was adopted from us when he was 2 months old.  He was just returned because they do,56,NULL,lmenter@plexzap.com,2015-03-07,icaldarera@yearin.com
128,Brandy,female,1,0,2019-11-11,The animal has a behavior that I don't want to try to work with and correct.,  was recently rescued from euthanasia at a Texas shelter. She has the sweetest face!  I,91,NULL,rdiestel@goodsilron.com,2012-04-11,kmyricks@groovestreet.com
129,Dakota,female,1,0,2019-11-11,"I told my dying family member that I would care for their animal after they died to make them feel better, but I really don't want the animal so I am surrendering it to you.", is a stunning girl who was adopted from Eleventh Hour Rescue a few years ago but was recen,159,5869537559,jgiguere@openlane.com,2006-08-11,acoyier@hottechi.com
130,Max,male,1,0,2019-11-12,I got a new house and don't want it., Meet  a sweet-as-pie Brindle/Blue Nose Pit Bull who needs a new place to live,14,NULL,cvonasek@toughzap.com,2018-09-12,mskulski@sumace.com
131,Leo,male,1,0,2019-11-13,The animal has had (puppies/kittens) and I don't know how that happened and I don't want them anymore., she was being given away in the back of a gas station in a rural Texas town when one of our,47,1968472390,nbatman@ron-tech.com,2015-12-13,nhaufler@zencorporation.com
132,Cleo,female,1,0,2019-11-15,I am moving and I can't take them with me., would be a wonderful addition to your family as long as she's the only fur,260,NULL,kmunns@yearin.com,1998-03-15,brhym@dambase.com
